Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-01,301,monthly,93.48,01-01-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-01,141,monthly,92.3,01-01-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-01,525,monthly,91.71,01-01-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-01,1387,monthly,92.92,01-01-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-02,353,monthly,93.05,01-02-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-02,150,monthly,90.08,01-02-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-02,566,monthly,92.31,01-02-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-02,1576,monthly,92.33,01-02-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-03,410,monthly,93.15,01-03-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-03,203,monthly,88.86,01-03-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-03,731,monthly,91.61,01-03-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-03,1944,monthly,92.01,01-03-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-04,332,monthly,93.38,01-04-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-04,174,monthly,92.62,01-04-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-04,651,monthly,91.72,01-04-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-04,1686,monthly,92.44,01-04-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-05,476,monthly,95.12,01-05-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-05,202,monthly,92.83,01-05-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-05,823,monthly,90.56,01-05-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-05,2194,monthly,92.92,01-05-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-06,425,monthly,95.72,01-06-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-06,221,monthly,94.14,01-06-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-06,978,monthly,91.41,01-06-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-06,2334,monthly,93.62,01-06-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-07,493,monthly,97.13,01-07-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-07,279,monthly,95.01,01-07-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-07,930,monthly,92.03,01-07-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-07,2417,monthly,94.41,01-07-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-08,527,monthly,97.58,01-08-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-08,280,monthly,96.79,01-08-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-08,1063,monthly,92.56,01-08-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-08,2659,monthly,94.73,01-08-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-09,497,monthly,98.47,01-09-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-09,233,monthly,96.67,01-09-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-09,860,monthly,93.73,01-09-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-09,2348,monthly,95.68,01-09-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-10,530,monthly,97.47,01-10-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-10,299,monthly,95.34,01-10-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-10,1072,monthly,93.29,01-10-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-10,2780,monthly,95.32,01-10-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-11,646,monthly,96.09,01-11-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-11,297,monthly,94.44,01-11-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-11,1118,monthly,94.29,01-11-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-11,2988,monthly,95.52,01-11-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2013-12,613,monthly,95.73,01-12-13
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2013-12,327,monthly,95.09,01-12-13
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2013-12,1028,monthly,94.71,01-12-13
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2013-12,2849,monthly,95.57,01-12-13
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-01,485,monthly,97.53,01-01-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-01,238,monthly,94.87,01-01-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-01,945,monthly,95.48,01-01-14
